subject,trial,item,dimension,puzzle,choice,accuracy,rt
3897094,22,31,3,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T.jpeg,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T2_minimal_difference.jpeg,0,2.206
3897094,23,12,4,12_double__1212102211111221_shape_set_20_T.jpeg,12_double__1212102211111221_shape_set_20_T2_minimal_difference.jpeg,0,3.402
3897094,24,16,4,16_grid_single__1012121112021101_shape_set_4_T.jpeg,16_grid_single__1012121112021101_shape_set_4_T1_paired_difference.jpeg,1,2.224
3897094,25,17,4,17_double__1222110111201012_shape_set_17_T.jpeg,17_double__1222110111201012_shape_set_17_T1_minimal_difference.jpeg,1,3.127
3897094,26,23,4,23_grid_single__1110120212111121_shape_set_17_T.jpeg,23_grid_single__1110120212111121_shape_set_17_T4_minimal_difference.jpeg,0,3.113
3897094,27,40,4,40_grid_double__02000000010011100200020010211111_shape_set_4_T.jpeg,40_grid_double__02000000010011100200020010211111_shape_set_4_T2_minimal_difference.jpeg,0,2.972
3897094,28,42,4,42_double__1111101211021120_shape_set_20_T.jpeg,42_double__1111101211021120_shape_set_20_T2_minimal_difference.jpeg,0,2.786
3897094,29,14,5,14_triple__112110100000000010021222_shape_set_17_T.jpeg,14_triple__112110100000000010021222_shape_set_17_T2_paired_difference.jpeg,0,2.928
3897094,30,26,5,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T.jpeg,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T2_paired_difference.jpeg,0,3.111
3897094,31,52,5,52_flower_single__12121202111010011122_shape_set_4_T.jpeg,52_flower_single__12121202111010011122_shape_set_4_T4_paired_difference.jpeg,0,2.256
3897094,32,59,5,59_flower_single__11211110102010011122_shape_set_17_T.jpeg,59_flower_single__11211110102010011122_shape_set_17_T4_paired_difference.jpeg,0,3.123
3897094,33,36,6,36_triple__111212011010112010220100_shape_set_20_T.jpeg,36_triple__111212011010112010220100_shape_set_20_T2_paired_difference.jpeg,0,2.447
3897094,34,44,6,44_triple__120211201211000011101212_shape_set_17_T.jpeg,44_triple__120211201211000011101212_shape_set_17_T2_minimal_difference.jpeg,0,3.354
3897094,35,46,6,46_triple__101112200200110212211001_shape_set_4_T.jpeg,46_triple__101112200200110212211001_shape_set_4_T3_minimal_difference.jpeg,0,2.142
3897094,36,54,6,54_grid_double__01001121120112110100100212100100_shape_set_20_T.jpeg,54_grid_double__01001121120112110100100212100100_shape_set_20_T4_minimal_difference.jpeg,0,3.475
3897094,37,21,7,21_triple__100111201112121010221202_shape_set_20_T.jpeg,21_triple__100111201112121010221202_shape_set_20_T4_paired_difference.jpeg,0,3.625
3897094,38,24,7,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_20_T.jpeg,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_20_T4_minimal_difference.jpeg,0,5.008
3897094,39,29,7,29_grid_double__10121011111012010000102012020000_shape_set_17_T.jpeg,29_grid_double__10121011111012010000102012020000_shape_set_17_T1_paired_difference.jpeg,1,4.493
3897094,40,35,8,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_17_T.jpeg,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_17_T4_minimal_difference.jpeg,0,4.073
3899928,1,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,2_double__0000020001001020_shape_set_17_T1_minimal_difference.jpeg,1,4.144
3899928,2,3,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,3_clockwork3_single__000011010200_shape_set_20_T1_minimal_difference.jpeg,1,1.496
3899928,3,4,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,4_flower_single__02001220000001000200_shape_set_4_T3_minimal_difference.jpeg,0,3.266
3899928,4,5,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,5_grid_single__0000000010200000_shape_set_17_T1_paired_difference.jpeg,1,5.093
3899928,5,7,1,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,7_flower_single__01000200020012200200_shape_set_4_T1_minimal_difference.jpeg,1,4.717
3899928,6,8,1,8_grid_single__0100000000001111_shape_set_17_T.jpeg,8_grid_single__0100000000001111_shape_set_17_T3_paired_difference.jpeg,0,4.592
3899928,7,9,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,9_flower_single__10020000020001000200_shape_set_20_T1_paired_difference.jpeg,1,9.914
3899928,8,1,2,1_single__101010001010_shape_set_4_T.jpeg,1_single__101010001010_shape_set_4_T1_paired_difference.jpeg,1,1.772
3899928,9,6,2,6_single__121210101222_shape_set_20_T.jpeg,6_single__121210101222_shape_set_20_T1_minimal_difference.jpeg,1,6.82
3899928,10,19,2,19_single__101112201212_shape_set_4_T.jpeg,19_single__101112201212_shape_set_4_T1_paired_difference.jpeg,1,5.314
3899928,11,20,2,20_double__1221010010220000_shape_set_17_T.jpeg,20_double__1221010010220000_shape_set_17_T1_minimal_difference.jpeg,1,8.72
3899928,12,22,2,22_single__112212211220_shape_set_4_T.jpeg,22_single__112212211220_shape_set_4_T1_minimal_difference.jpeg,1,6.213
3899928,13,25,2,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,25_clockwork3_single__112110110000_shape_set_4_T1_paired_difference.jpeg,1,6.191
3899928,14,28,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T3_paired_difference.jpeg,0,10.097
3899928,15,39,2,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T.jpeg,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T1_minimal_difference.jpeg,1,8.746
3899928,16,10,3,10_triple__000012221120010002000000_shape_set_4_T.jpeg,10_triple__000012221120010002000000_shape_set_4_T1_paired_difference.jpeg,1,5.954
3899928,17,11,3,11_grid_single__1220111101001121_shape_set_17_T.jpeg,11_grid_single__1220111101001121_shape_set_17_T2_minimal_difference.jpeg,0,3.03
3899928,18,13,3,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,13_flower_single__01001221122102001122_shape_set_4_T2_minimal_difference.jpeg,0,5.797
3899928,19,15,3,15_double__0000110211121011_shape_set_20_T.jpeg,15_double__0000110211121011_shape_set_20_T3_minimal_difference.jpeg,0,8.221
3899928,20,18,3,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T1_minimal_difference.jpeg,1,4.168
3899928,21,27,3,27_double__1020020012121122_shape_set_20_T.jpeg,27_double__1020020012121122_shape_set_20_T1_paired_difference.jpeg,1,8.277
3899928,22,31,3,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T.jpeg,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T1_paired_difference.jpeg,1,2.224
3899928,23,12,4,12_double__1212102211111221_shape_set_20_T.jpeg,12_double__1212102211111221_shape_set_20_T3_minimal_difference.jpeg,0,3.271
3899928,24,16,4,16_grid_single__1012121112021101_shape_set_4_T.jpeg,16_grid_single__1012121112021101_shape_set_4_T1_minimal_difference.jpeg,1,6.085
3899928,25,17,4,17_double__1222110111201012_shape_set_17_T.jpeg,17_double__1222110111201012_shape_set_17_T1_paired_difference.jpeg,1,7.35
3899928,26,23,4,23_grid_single__1110120212111121_shape_set_17_T.jpeg,23_grid_single__1110120212111121_shape_set_17_T4_minimal_difference.jpeg,0,2.824
3899928,27,40,4,40_grid_double__02000000010011100200020010211111_shape_set_4_T.jpeg,40_grid_double__02000000010011100200020010211111_shape_set_4_T4_minimal_difference.jpeg,0,3.885
3899928,28,42,4,42_double__1111101211021120_shape_set_20_T.jpeg,42_double__1111101211021120_shape_set_20_T1_minimal_difference.jpeg,1,3.85
3899928,29,14,5,14_triple__112110100000000010021222_shape_set_17_T.jpeg,14_triple__112110100000000010021222_shape_set_17_T2_paired_difference.jpeg,0,5.459
3899928,30,26,5,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T.jpeg,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T4_minimal_difference.jpeg,0,7.61
3899928,31,52,5,52_flower_single__12121202111010011122_shape_set_4_T.jpeg,52_flower_single__12121202111010011122_shape_set_4_T2_minimal_difference.jpeg,0,7.29
3899928,32,59,5,59_flower_single__11211110102010011122_shape_set_17_T.jpeg,59_flower_single__11211110102010011122_shape_set_17_T1_minimal_difference.jpeg,1,3.457
3899928,33,36,6,36_triple__111212011010112010220100_shape_set_20_T.jpeg,36_triple__111212011010112010220100_shape_set_20_T4_minimal_difference.jpeg,0,5.343
3899928,34,44,6,44_triple__120211201211000011101212_shape_set_17_T.jpeg,44_triple__120211201211000011101212_shape_set_17_T3_paired_difference.jpeg,0,7.648
3899928,35,46,6,46_triple__101112200200110212211001_shape_set_4_T.jpeg,46_triple__101112200200110212211001_shape_set_4_T1_paired_difference.jpeg,1,11.871
3917197,1,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,2_double__0000020001001020_shape_set_17_T1_minimal_difference.jpeg,1,3.964
3917197,2,3,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,3_clockwork3_single__000011010200_shape_set_20_T1_minimal_difference.jpeg,1,3.119
3917197,3,4,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,4_flower_single__02001220000001000200_shape_set_4_T1_paired_difference.jpeg,1,2.8
3917197,4,5,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,5_grid_single__0000000010200000_shape_set_17_T1_minimal_difference.jpeg,1,1.779
3917197,5,7,1,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,7_flower_single__01000200020012200200_shape_set_4_T1_paired_difference.jpeg,1,2.734
3917197,6,8,1,8_grid_single__0100000000001111_shape_set_17_T.jpeg,8_grid_single__0100000000001111_shape_set_17_T1_paired_difference.jpeg,1,4.703
3917197,7,9,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,9_flower_single__10020000020001000200_shape_set_20_T1_minimal_difference.jpeg,1,4.796
3917197,8,1,2,1_single__101010001010_shape_set_4_T.jpeg,1_single__101010001010_shape_set_4_T1_minimal_difference.jpeg,1,1.219
3917197,9,6,2,6_single__121210101222_shape_set_20_T.jpeg,6_single__121210101222_shape_set_20_T1_minimal_difference.jpeg,1,5.881
3917197,10,19,2,19_single__101112201212_shape_set_4_T.jpeg,19_single__101112201212_shape_set_4_T4_paired_difference.jpeg,0,5.994
3917197,11,20,2,20_double__1221010010220000_shape_set_17_T.jpeg,20_double__1221010010220000_shape_set_17_T1_paired_difference.jpeg,1,6.047
3917197,12,22,2,22_single__112212211220_shape_set_4_T.jpeg,22_single__112212211220_shape_set_4_T1_paired_difference.jpeg,1,3.547
3917197,13,25,2,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,25_clockwork3_single__112110110000_shape_set_4_T1_minimal_difference.jpeg,1,7.276
3917197,14,28,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T2_minimal_difference.jpeg,0,13.869
3917197,15,39,2,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T.jpeg,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T4_minimal_difference.jpeg,0,7.624
3917197,16,10,3,10_triple__000012221120010002000000_shape_set_4_T.jpeg,10_triple__000012221120010002000000_shape_set_4_T2_minimal_difference.jpeg,0,12.276
3917197,17,11,3,11_grid_single__1220111101001121_shape_set_17_T.jpeg,11_grid_single__1220111101001121_shape_set_17_T2_minimal_difference.jpeg,0,4.627
3917197,18,13,3,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,13_flower_single__01001221122102001122_shape_set_4_T1_minimal_difference.jpeg,1,9.082
3917197,19,15,3,15_double__0000110211121011_shape_set_20_T.jpeg,15_double__0000110211121011_shape_set_20_T4_minimal_difference.jpeg,0,9.07
3917197,20,18,3,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T1_paired_difference.jpeg,1,11.97
3917197,21,27,3,27_double__1020020012121122_shape_set_20_T.jpeg,27_double__1020020012121122_shape_set_20_T3_minimal_difference.jpeg,0,9.187
3917197,22,31,3,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T.jpeg,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T1_paired_difference.jpeg,1,6.589
3917197,23,12,4,12_double__1212102211111221_shape_set_20_T.jpeg,12_double__1212102211111221_shape_set_20_T4_minimal_difference.jpeg,0,15.774
3917197,24,16,4,16_grid_single__1012121112021101_shape_set_4_T.jpeg,16_grid_single__1012121112021101_shape_set_4_T2_minimal_difference.jpeg,0,17.233
3917197,25,17,4,17_double__1222110111201012_shape_set_17_T.jpeg,17_double__1222110111201012_shape_set_17_T2_minimal_difference.jpeg,0,6.016
3917197,26,23,4,23_grid_single__1110120212111121_shape_set_17_T.jpeg,23_grid_single__1110120212111121_shape_set_17_T1_minimal_difference.jpeg,1,8.437
3917197,27,40,4,40_grid_double__02000000010011100200020010211111_shape_set_4_T.jpeg,40_grid_double__02000000010011100200020010211111_shape_set_4_T3_minimal_difference.jpeg,0,12.44
3917197,28,42,4,42_double__1111101211021120_shape_set_20_T.jpeg,42_double__1111101211021120_shape_set_20_T4_paired_difference.jpeg,0,1.366
3917197,29,14,5,14_triple__112110100000000010021222_shape_set_17_T.jpeg,14_triple__112110100000000010021222_shape_set_17_T4_paired_difference.jpeg,0,10.42
3917432,1,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,2_double__0000020001001020_shape_set_17_T1_paired_difference.jpeg,1,11.328
3917432,2,3,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,3_clockwork3_single__000011010200_shape_set_20_T1_paired_difference.jpeg,1,4.301
3917432,3,4,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,4_flower_single__02001220000001000200_shape_set_4_T1_minimal_difference.jpeg,1,6.575
3917432,4,5,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,5_grid_single__0000000010200000_shape_set_17_T1_minimal_difference.jpeg,1,6.843
3917432,5,7,1,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,7_flower_single__01000200020012200200_shape_set_4_T1_minimal_difference.jpeg,1,6.438
3917432,6,8,1,8_grid_single__0100000000001111_shape_set_17_T.jpeg,8_grid_single__0100000000001111_shape_set_17_T4_minimal_difference.jpeg,0,9.887
3917432,7,9,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,9_flower_single__10020000020001000200_shape_set_20_T1_paired_difference.jpeg,1,11.202
3917432,8,1,2,1_single__101010001010_shape_set_4_T.jpeg,1_single__101010001010_shape_set_4_T1_paired_difference.jpeg,1,7.386
3917432,9,6,2,6_single__121210101222_shape_set_20_T.jpeg,6_single__121210101222_shape_set_20_T2_minimal_difference.jpeg,0,4.243
3917432,10,19,2,19_single__101112201212_shape_set_4_T.jpeg,19_single__101112201212_shape_set_4_T2_paired_difference.jpeg,0,6.906
3917432,11,20,2,20_double__1221010010220000_shape_set_17_T.jpeg,20_double__1221010010220000_shape_set_17_T1_minimal_difference.jpeg,1,14.137
3917432,12,22,2,22_single__112212211220_shape_set_4_T.jpeg,22_single__112212211220_shape_set_4_T4_paired_difference.jpeg,0,8.653
3917432,13,25,2,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,25_clockwork3_single__112110110000_shape_set_4_T3_minimal_difference.jpeg,0,16.192
3917432,14,28,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T3_paired_difference.jpeg,0,13.09
3917432,15,39,2,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T.jpeg,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T2_minimal_difference.jpeg,0,10.323
3917432,16,10,3,10_triple__000012221120010002000000_shape_set_4_T.jpeg,10_triple__000012221120010002000000_shape_set_4_T1_paired_difference.jpeg,1,25.921
3917432,17,11,3,11_grid_single__1220111101001121_shape_set_17_T.jpeg,11_grid_single__1220111101001121_shape_set_17_T1_paired_difference.jpeg,1,18.068
3917432,18,13,3,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,13_flower_single__01001221122102001122_shape_set_4_T1_paired_difference.jpeg,1,11.126
3917432,19,15,3,15_double__0000110211121011_shape_set_20_T.jpeg,15_double__0000110211121011_shape_set_20_T4_minimal_difference.jpeg,0,17.223
3917432,20,18,3,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T3_paired_difference.jpeg,0,14.374
3936035,1,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,2_double__0000020001001020_shape_set_17_T1_minimal_difference.jpeg,1,2.583
3936035,2,3,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,3_clockwork3_single__000011010200_shape_set_20_T1_minimal_difference.jpeg,1,2.289
3936035,3,4,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,4_flower_single__02001220000001000200_shape_set_4_T1_minimal_difference.jpeg,1,2.059
3936035,4,5,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,5_grid_single__0000000010200000_shape_set_17_T1_paired_difference.jpeg,1,1.741
3936035,5,7,1,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,7_flower_single__01000200020012200200_shape_set_4_T1_paired_difference.jpeg,1,2.805
3936035,6,8,1,8_grid_single__0100000000001111_shape_set_17_T.jpeg,8_grid_single__0100000000001111_shape_set_17_T1_paired_difference.jpeg,1,5.548
3936035,7,9,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,9_flower_single__10020000020001000200_shape_set_20_T3_minimal_difference.jpeg,0,4.005
3936035,8,1,2,1_single__101010001010_shape_set_4_T.jpeg,1_single__101010001010_shape_set_4_T1_paired_difference.jpeg,1,1.593
3936035,9,6,2,6_single__121210101222_shape_set_20_T.jpeg,6_single__121210101222_shape_set_20_T1_minimal_difference.jpeg,1,10.129
3936035,10,19,2,19_single__101112201212_shape_set_4_T.jpeg,19_single__101112201212_shape_set_4_T1_paired_difference.jpeg,1,5.556
3936035,11,20,2,20_double__1221010010220000_shape_set_17_T.jpeg,20_double__1221010010220000_shape_set_17_T1_minimal_difference.jpeg,1,8.108
3936035,12,22,2,22_single__112212211220_shape_set_4_T.jpeg,22_single__112212211220_shape_set_4_T4_minimal_difference.jpeg,0,3.938
3936035,13,25,2,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,25_clockwork3_single__112110110000_shape_set_4_T1_minimal_difference.jpeg,1,4.456
3936035,14,28,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T3_minimal_difference.jpeg,0,7.35
3936035,15,39,2,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T.jpeg,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T2_paired_difference.jpeg,0,4.973
3936035,16,10,3,10_triple__000012221120010002000000_shape_set_4_T.jpeg,10_triple__000012221120010002000000_shape_set_4_T3_minimal_difference.jpeg,0,10.64
3936035,17,11,3,11_grid_single__1220111101001121_shape_set_17_T.jpeg,11_grid_single__1220111101001121_shape_set_17_T2_paired_difference.jpeg,0,9.786
3936035,18,13,3,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,13_flower_single__01001221122102001122_shape_set_4_T1_paired_difference.jpeg,1,18.788
3936035,19,15,3,15_double__0000110211121011_shape_set_20_T.jpeg,15_double__0000110211121011_shape_set_20_T1_minimal_difference.jpeg,1,16.72
3936035,20,18,3,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T2_paired_difference.jpeg,0,6.136
3936035,21,27,3,27_double__1020020012121122_shape_set_20_T.jpeg,27_double__1020020012121122_shape_set_20_T2_paired_difference.jpeg,0,11.032
3936035,22,31,3,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T.jpeg,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T1_paired_difference.jpeg,1,15.62
3936035,23,12,4,12_double__1212102211111221_shape_set_20_T.jpeg,12_double__1212102211111221_shape_set_20_T2_minimal_difference.jpeg,0,10.389
3936035,24,16,4,16_grid_single__1012121112021101_shape_set_4_T.jpeg,16_grid_single__1012121112021101_shape_set_4_T2_minimal_difference.jpeg,0,7.768
3936035,25,17,4,17_double__1222110111201012_shape_set_17_T.jpeg,17_double__1222110111201012_shape_set_17_T3_minimal_difference.jpeg,0,21.833
3936035,26,23,4,23_grid_single__1110120212111121_shape_set_17_T.jpeg,23_grid_single__1110120212111121_shape_set_17_T1_minimal_difference.jpeg,1,9.106
3936035,27,40,4,40_grid_double__02000000010011100200020010211111_shape_set_4_T.jpeg,40_grid_double__02000000010011100200020010211111_shape_set_4_T1_paired_difference.jpeg,1,10.645
3936321,1,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,2_double__0000020001001020_shape_set_17_T1_paired_difference.jpeg,1,1.989
3936321,2,3,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,3_clockwork3_single__000011010200_shape_set_20_T1_minimal_difference.jpeg,1,1.582
3936321,3,4,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,4_flower_single__02001220000001000200_shape_set_4_T1_paired_difference.jpeg,1,2.124
3936321,4,5,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,5_grid_single__0000000010200000_shape_set_17_T1_paired_difference.jpeg,1,1.612
3936321,5,7,1,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,7_flower_single__01000200020012200200_shape_set_4_T1_paired_difference.jpeg,1,3.473
3936321,6,8,1,8_grid_single__0100000000001111_shape_set_17_T.jpeg,8_grid_single__0100000000001111_shape_set_17_T3_paired_difference.jpeg,0,6.412
3936321,7,9,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,9_flower_single__10020000020001000200_shape_set_20_T1_paired_difference.jpeg,1,2.629
3936321,8,1,2,1_single__101010001010_shape_set_4_T.jpeg,1_single__101010001010_shape_set_4_T1_minimal_difference.jpeg,1,0.943
3936321,9,6,2,6_single__121210101222_shape_set_20_T.jpeg,6_single__121210101222_shape_set_20_T2_paired_difference.jpeg,0,3.37
3936321,10,19,2,19_single__101112201212_shape_set_4_T.jpeg,19_single__101112201212_shape_set_4_T4_paired_difference.jpeg,0,2.02
3936321,11,20,2,20_double__1221010010220000_shape_set_17_T.jpeg,20_double__1221010010220000_shape_set_17_T2_paired_difference.jpeg,0,2.155
3936321,12,22,2,22_single__112212211220_shape_set_4_T.jpeg,22_single__112212211220_shape_set_4_T3_paired_difference.jpeg,0,3.154
3936321,13,25,2,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,25_clockwork3_single__112110110000_shape_set_4_T2_minimal_difference.jpeg,0,5.633
3936321,14,28,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T1_minimal_difference.jpeg,1,3.639
3936321,15,39,2,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T.jpeg,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T4_minimal_difference.jpeg,0,3.861
3936321,16,10,3,10_triple__000012221120010002000000_shape_set_4_T.jpeg,10_triple__000012221120010002000000_shape_set_4_T2_minimal_difference.jpeg,0,9.163
3936321,17,11,3,11_grid_single__1220111101001121_shape_set_17_T.jpeg,11_grid_single__1220111101001121_shape_set_17_T1_paired_difference.jpeg,1,8.379
3936321,18,13,3,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,13_flower_single__01001221122102001122_shape_set_4_T1_minimal_difference.jpeg,1,3.99
3936321,19,15,3,15_double__0000110211121011_shape_set_20_T.jpeg,15_double__0000110211121011_shape_set_20_T4_minimal_difference.jpeg,0,1.664
3936321,20,18,3,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T1_paired_difference.jpeg,1,3.772
3936321,21,27,3,27_double__1020020012121122_shape_set_20_T.jpeg,27_double__1020020012121122_shape_set_20_T2_paired_difference.jpeg,0,2.237
3936321,22,31,3,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T.jpeg,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T3_minimal_difference.jpeg,0,1.367
3936321,23,12,4,12_double__1212102211111221_shape_set_20_T.jpeg,12_double__1212102211111221_shape_set_20_T4_minimal_difference.jpeg,0,0.877
3936321,24,16,4,16_grid_single__1012121112021101_shape_set_4_T.jpeg,16_grid_single__1012121112021101_shape_set_4_T2_minimal_difference.jpeg,0,3.591
3936321,25,17,4,17_double__1222110111201012_shape_set_17_T.jpeg,17_double__1222110111201012_shape_set_17_T4_minimal_difference.jpeg,0,1.831
3936321,26,23,4,23_grid_single__1110120212111121_shape_set_17_T.jpeg,23_grid_single__1110120212111121_shape_set_17_T1_paired_difference.jpeg,1,1.537
3936321,27,40,4,40_grid_double__02000000010011100200020010211111_shape_set_4_T.jpeg,40_grid_double__02000000010011100200020010211111_shape_set_4_T1_paired_difference.jpeg,1,3.262
3936321,28,42,4,42_double__1111101211021120_shape_set_20_T.jpeg,42_double__1111101211021120_shape_set_20_T3_paired_difference.jpeg,0,3.845
3936321,29,14,5,14_triple__112110100000000010021222_shape_set_17_T.jpeg,14_triple__112110100000000010021222_shape_set_17_T2_paired_difference.jpeg,0,1.916
3936321,30,26,5,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T.jpeg,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T3_minimal_difference.jpeg,0,2.749
3936321,31,52,5,52_flower_single__12121202111010011122_shape_set_4_T.jpeg,52_flower_single__12121202111010011122_shape_set_4_T3_minimal_difference.jpeg,0,4.855
3936321,32,59,5,59_flower_single__11211110102010011122_shape_set_17_T.jpeg,59_flower_single__11211110102010011122_shape_set_17_T4_minimal_difference.jpeg,0,2.334
3936321,33,36,6,36_triple__111212011010112010220100_shape_set_20_T.jpeg,36_triple__111212011010112010220100_shape_set_20_T1_minimal_difference.jpeg,1,5.757
3936321,34,44,6,44_triple__120211201211000011101212_shape_set_17_T.jpeg,44_triple__120211201211000011101212_shape_set_17_T1_paired_difference.jpeg,1,5.211
3936321,35,46,6,46_triple__101112200200110212211001_shape_set_4_T.jpeg,46_triple__101112200200110212211001_shape_set_4_T1_paired_difference.jpeg,1,2.946
3936321,36,54,6,54_grid_double__01001121120112110100100212100100_shape_set_20_T.jpeg,54_grid_double__01001121120112110100100212100100_shape_set_20_T3_minimal_difference.jpeg,0,4.953
3936321,37,21,7,21_triple__100111201112121010221202_shape_set_20_T.jpeg,21_triple__100111201112121010221202_shape_set_20_T4_minimal_difference.jpeg,0,2.745
3936321,38,24,7,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_20_T.jpeg,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_20_T4_paired_difference.jpeg,0,0.766
3936321,39,29,7,29_grid_double__10121011111012010000102012020000_shape_set_17_T.jpeg,29_grid_double__10121011111012010000102012020000_shape_set_17_T1_minimal_difference.jpeg,1,9.404
3936321,40,35,8,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_17_T.jpeg,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_17_T1_paired_difference.jpeg,1,5.97
3943446,1,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,2_double__0000020001001020_shape_set_17_T1_minimal_difference.jpeg,1,1.949
3943446,2,3,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,3_clockwork3_single__000011010200_shape_set_20_T1_minimal_difference.jpeg,1,1.377
